IndexCustom,Article,Event,Bias,FineGrain_Techniques,FineGrain_Spans,Narrative
234C,"On 16 December, an OpIndia exclusive report had exposed how Congress' NSUI and their supporters are coordinating to instigate agitations across colleges and institutions of India via a WhatsApp group, and trying to pass them off as organic protests. An intelligence report shared with the Ministry of Home Affairs, some ‘political parties’ and banned radical Islamist outfits like SIMI and PFI are behind the violent protests in several places across the country. As per areportpublished in Swarajya, sources in the MHA said that the intelligence report, submitted last week, says that the violence and unrest is the ‘handiwork’ of banned Islamist outfits. On Sunday,violent protests,stone-pelting arson and mob attacks had forced the Delhi police to enter into the premises of Jamia Millia Islamia to get the situation under control. “Some political parties (names withheld considering the gravity of the case) ignited the violent acts at various places, letting opportunities to sleeper cells of extremist and militant Islamic fundamentalist organisations, Popular Front of India (PFI) and Students Islamic Movement of India (SIMI)” the ministry sources were quoted saying by the report. It also added that their aim is to disrupt law and order situation in the country. The intelligence report also stated that the outfits are planning to spread the violence to several states. The PFI has a number of student and social bodies and is reportedly trying to take advantage of the situation. The SIMI, which had been involved in terrorist activities, is trying to revive its sleeper cells in the time of crisis to provide help to some political parties. The PFI, in apress releaseearlier this month, had fear-mongered over the CAB, batted for the Rohingyas, and had added that India has ‘no right’ over PoK. The intelligence report, as per sources, stressed upon immediate measures to curb the spreading violence through protests. It stated that the organisations involved are seeking to damage the social fabric of the country by propagating antinationalism and secessionism. It is notable here that the MHA had on December 16, issued anadvisoryto all state and UTs to take the “requisite precautionary measures to maintain law and order, peace and public tranquillity”. The advisory also includes directives to curb rumour-mongering and fake news on social media. It is notable here that on 16 December, an OpIndia exclusive report had exposed how Congress’ NSUI and their supporters are coordinating to instigate violent agitations across colleges and institutions of India via a WhatsApp group. Read:Who is instigating violence in colleges: Congress, NSUI, a sinister WhatsApp group and anti-CAA protests The report by our editor Nupur J Sharma has exposed the NSUI leaders trying to rally students across India in a well-planned and coordinated way while trying to mask these protests as spontaneous and organic. The CAA aims to provide Indian citizenship to persecuted minorities who have been staying as refugees from the three Islamic neighbouring nations, Pakistan, Afghanistan and Bangladesh. Islamists groups, most of ‘secular-liberal’ media and opposition parties have been opposing the legislation alleging that it is discriminatory against Muslims. ",CAA,right,"Appeal to emotion/fear/prejudice,Causal Oversimplification,Name Calling and Labeling,Smears","T1: ['On Sunday,violent protests,stone-pelting arson and mob attacks had forced the Delhi police to enter into the premises of Jamia Millia Islamia to get the situation under control.']
T8: ['radical Islamist']
T9: ['The intelligence report also stated that the outfits are planning to spread the violence to several states. The PFI has a number of student and social bodies and is reportedly trying to take advantage of the situation. The SIMI, which had been involved in terrorist activities, is trying to revive its sleeper cells in the time of crisis to provide help to some political parties.']
T15: ['Congress' NSUI and their supporters are coordinating to instigate agitations across colleges and institutions of India via a WhatsApp group, and trying to pass them off as organic protests.']
T15: ['the violence and unrest is the ‘handiwork’ of banned Islamist outfits.']
T15: ['Congress’ NSUI and their supporters are coordinating to instigate violent agitations across colleges and institutions of India via a WhatsApp group.']","Vilification of the opposition, Opposition spreading misinformation and fear, Anti-CAA Protests Are a Pre-Planned and Funded Conspiracy, Delegitimization of Critics, Glorification of the central government"
111C,"On 23 January, a pro-CAA rally in Jharkhand's Lohardaga was brutally attacked by a Muslim mob. Over 100 people and 24 policemen were injured in the violence. Neeraj Ram Prajapati, who was brutally injured when a Muslim mob had attacked a  pro-CAA rally in Lohardaga, Jharkhand last week, has died on Monday. Neeraj was initially treated at Orchid Hospital in Ranchi but was later transferred to the Rajendra Institute of Medical Sciences (RIMS). Jharkhand police: According to primary investigation in the death of Neeraj Ram Prajapati, Rajendra Institute of Medical Sciences doctor has stated that he died due to cardiac arrest caused by septic shock from brain stem bleed, external injury was not the reason for his death.https://t.co/GqKrdnMYPz — ANI (@ANI)January 27, 2020 As perreports, Prajapati had bleeding inside his brain and the resultant septic shock had caused a cardiac arrest. In Jharkhand’s Lohardaga, When the pro-CAA march was passing through a Muslim locality near Amla Toli on 23 January, stones and petrol bombs werehurledat the participants by the local Muslims. Women became the specific targets of the ruthless mob. Shops and homes belonging to the Hindus were set on fire. This created a state of panic and resulted in a stampede. Roughly, 100 participants and 24 policemen had sustained injuries during the unprovoked attack by the violent mob. Lohardaga Dist Collector: Curfew imposed in Lohardaga. Schools-colleges to remain closed for 2 days. After this,decision will be taken as per situation. Situation under control. Extra forces deployed.#Jharkhand Violence erupted y’day in Lohardaga town following a pro-CAA rally — ANI (@ANI)January 24, 2020 The police were forced to fire several rounds in the air. In order to diffuse the situation, Police Captain Priyadarshi Alok and Deputy Commissioner Akansha Ranjan rushed to the scene with additional force. Curfew was imposed in the city. All roads entering the city were constantly monitored. Ground reports had stated that the violent Muslim mob had gone on a rampage suddenly, giving the police no time to react, and had specifically targeted Hindu homes. The mob had also allegedly set fire to houses where families were present inside. Hundreds of vehicles were torched. As perreports, the curfew is still in force after six days. On Monday night, miscreants had again torched a truck parked outside a local councillor’s house. CRPF personnel have also been deployed now to take control of the situation. Read:Here is how a Muslim mob went on a rampage, looting and burning Hindu houses after attacking a pro-CAA rally in Lohardaga, Jharkhand Stones were allegedlypeltedfrom a Mosque and even from a local Congress office, a VHP leader had stated. Schools and colleges were also shut down following the violence. The police had also requested people to abstain from rumour-mongering on social media. 16 people have beennabbedby the police so far. ",CAA,right,"Appeal to emotion/fear/prejudice,Smears","T9: ['stones and petrol bombs were hurled at the participants by the local Muslims. Women became the specific targets of the ruthless mob. Shops and homes belonging to the Hindus were set on fire. This created a state of panic and resulted in a stampede. Roughly, 100 participants and 24 policemen had sustained injuries during the unprovoked attack by the violent mob.']
T15: ['pelted from a Mosque and even from a local Congress office']","Vilification of the opposition, Framing Anti-CAA Protests as SAM, Delegitimization of Critics"
314C,"On 27th December last year, Union Home Minister Shah had asserted that the BJP-led Union government would implement the CAA stating that ""no one can stop it"". The Citizenship (Amendment) Act will be implemented across India within the next seven days, Union Minister Shantanu Thakur made this bold assertion as a guarantee in West Bengal on Sunday (28th January). Addressing a public gathering in Kakdwip in South 24 Parganas, Thakur saidin Bengali, “The Ram Mandir in Ayodhya has been inaugurated, and within the next seven days, the CAA will be implemented across the country. This is my guarantee. Not just in West Bengal, the CAA would be implemented in every state of India within a week.” VIDEO | ""Ram Mandir has been inaugurated (in Ayodhya), and within the next seven days, the CAA – Citizenship (Amendment) Act – will be implemented across the country. This is my guarantee. Not just in West Bengal, the CAA would be implemented in every state of India within a…pic.twitter.com/f5Ergu5TG3 Notably, Shantanu Thakur is BJP’s Lok Sabha MP from Bangaon, Bengal and he is the Union Minister of State for the Ministry of Ports, Shipping and Waterways in the PM Narendra Modi’s government. According to the Union Minister, the act will be implemented within a week not just in West Bengal but across the country. During his address, Thakur also reiterated Union Home Minister Amit Shah’s earlier remark on the implementation of CAA. On 27th December last year, Union Home Minister Shah had asserted that the BJP-led Union government would implement the CAA stating that “no one can stop it”. Back then, Shah also launched a scathing attack against Trinamool Congress supremo and West Bengal Chief Minister Mamata Banerjee who has been vehemently opposing the implementation of CAA. During his address at a large rally at Kolkata’s iconic Esplanade, Shah had also slammed West Bengal CM over the issues of infiltration, corruption, political violence, and appeasement. He then urged the crowd to dethrone her government from Bengal and elect BJP in the 2026 Assembly elections. The Parliament passed the Citizenship (Amendment) Act on 11th December 2019. A day later, it received the President’s assent following which it was notified by the Ministry of Home Affairs. The Act, when implemented, will grant Indian nationality to persecuted minorities who belong to any of these six faiths namely – Hindus, Sikhs, Jains, Buddhists, Parsis, and Christians – from three neighbouring countries Bangladesh, Pakistan, and Afghanistan. Those migrants who had come to India till 31st December 2014 can be granted citizenship under this act. As per the parliamentary procedural manual, legislation rules must have to be formulated within six months of presidential assent, or the Home Ministry should request an extension from the Committees on Subordinate Legislation in both Lok Sabha and Rajya Sabha. Since 2020, the Home Ministry has routinely sought extensions from the parliamentary committees to draft the rules citing challenges posed by the COVID pandemic. The act aims to fulfill India’s long-standing commitment to minorities in India’s neighbourhood, under theNehru-Liaquat agreement, to grant Citizenship to persecuted minorities in Undivided India. However, it was subjected to massive anti-CAA protests including the Shaheen Bagh sit-in protest which culminated in the Anti-Hindu Delhi riotsin 2020 on account of uncalled-for and blatantly false accusations that it strips nationality or affects Indian Muslims. In the past two years, over 30 district magistrates and home secretaries from nine states have beenauthorisedto grant Indian citizenship to Hindus, Sikhs, Buddhists, Jains, Parsis, and Christians arriving from Afghanistan, Bangladesh, and Pakistan under the Citizenship Act of 1955. ",CAA,right,"Appeal to emotion/fear/prejudice,Assertion,Smears","T9: ['Shaheen Bagh sit-in protest which culminated in the Anti-Hindu Delhi riots in 2020']
T15: ['Shah had also slammed West Bengal CM over the issues of infiltration, corruption, political violence, and appeasement.']
T19: ['The act aims to fulfill India’s long-standing commitment to minorities in India’s neighbourhood, under the Nehru-Liaquat agreement, to grant Citizenship to persecuted minorities in Undivided India.']
T19: ['on account of uncalled-for and blatantly false accusations that it strips nationality or affects Indian Muslims.']","Glorification of CAA, Vilification of the opposition, Opposition spreading misinformation and fear, Framing Anti-CAA Protests as SAM, Glorification of the central government"
161C,"On Friday, several people have been detained by the Ahmedabad police including Congress Corporator Shehzad Khan Pathan. At least 24 people have been detained for the Ahmedabad violence by a Muslim mob including the Congress Corporator. The crime branch of Ahmedabad police has nabbed a Congress leader for posting a fake and misleading video on social media which incited a Muslim mob during a protest march at Shah-e-Alam, Gujarat, where several police officials werebrutally attackedby Muslim mobs. According to thereports, Congress party’s minority cell member Umar Khan Pathan had shared a video on social media in which a police action against rioters from Lucknow was passed on as an incident in Ahmedabad stoking violence in the Shah-e-Alam. The fake news had unleashed a violent Muslim mob, who attacked and injured more than 25 policemen on duty. Earlier, the role of Congress party had emerged in the horrifying violent protest against NRC and CAA that broke out in the Shah-e-Alam area in Ahmedabad and in Palanpur, Gujarat. Read:Take revenge, don’t spare any cop: Congress Corporator Shehzad Khan Pathan instigated anti-CAA riots in Ahmedabad Ajay Thomar, Special Police Commissioner today said that the cyber police had lodged a case in this connection and also issued an advisory to the social media clarifying the case. He confirmed that Congress leader Umar Khan Pathan has been arrested for deliberate attempt to misinform and mislead people. On Friday, several people havebeen detainedby the Ahmedabad police including Congress Corporator Shehzad Khan Pathan. At least 24 people have been detained for the Ahmedabad violence by a Muslim mob including the Congress Corporator. In Shah-e-Alam, the Muslim mob had gone on a rampage and indulged in indiscriminate stone-pelting against the police personnel. In shocking visuals that had emerged, while the mob indulged in stone-pelting on the police, a part of the Muslim mob had also tried to lynch a policeman who had stumbled while running from the frenzied mob throwing stones. ",CAA,right,"Appeal to emotion/fear/prejudice,Obfuscation,vagueness,confusion,Smears","T9: ['fake news had unleashed a violent Muslim mob, who attacked and injured more than 25 policemen on duty.']
T9: ['In shocking visuals that had emerged, while the mob indulged in stone-pelting on the police, a part of the Muslim mob had also tried to lynch a policeman who had stumbled while running from the frenzied mob throwing stones.']
T15: ['Congress leader for posting a fake and misleading video on social media which incited a Muslim mob during a protest march at Shah-e-Alam, Gujarat']
T15: ['Congress leader Umar Khan Pathan has been arrested for deliberate attempt to misinform and mislead people.']
T16: ['the role of Congress party had emerged in the horrifying violent protest against NRC and CAA that broke out in the Shah-e-Alam area in Ahmedabad and in Palanpur, Gujarat.']","Vilification of the opposition, Opposition spreading misinformation and fear, Framing Anti-CAA Protests as SAM"
460C,"On March 11, the Government of India formally notified the rules implementing the 2019 Citizenship Amendment Act (CAA). The law provides persecuted religious minorities hailing from Afghanistan, Bangladesh, and Pakistan an expedited pathway to Indian citizenship, provided they belong to the Buddhist, Christian, Hindu, Jain, Parsi, or Sikh communities. Notably, the law does not provide such a pathway to those who belong to the Muslim faith. The notification of the CAA rules—on the eve of India’s 2024 general election—has kicked off a fresh debate over the law, its implementing provisions, and the resulting implications for the future of secularism in India. On last week’s episode of Grand Tamasha, a weekly podcast on Indian politics and policy co-produced by HT and the Carnegie Endowment for International Peace, legal scholar M. Mohsin Alam Bhat joined host Milan Vaishnav to discuss the law, the rules, and the political impacts. Bhat, a Lecturer in Law at Queen Mary University of London, specializes in constitutional law and human rights and has written extensively about law and citizenship in India. Asked about using religious persecution as a criterion for fast-tracked citizenship, Bhat said there’s nothing wrong with taking religion into account given it is one of the major grounds of persecution. Furthermore, India has a responsibility toward religiously persecuted minorities in its region. However, Bhat argued, one cannot ignore the political and social context in which the CAA and the subsequent rules have been unveiled. “What India is doing is a political project, a transformation of India into a religiously, sectarian ethnic state. It is not the response of a secular, inclusive, just democratic country to address problems of religious persecution in its neighborhood, even if it’s piecemeal,” he said. Bhat continued, “For instance, the government could have said that we’re interested in handling religious persecution, it’s a piecemeal project, there’s a current emergency in Bangladesh, and we can resettle [refugees]. But that is not what is happening here. It is part of a political project to reimagine India in a very different manner.” On the question of the law’s constitutionality, Bhat says “critics of the law, including myself, have started arguing that the real challenge [with the CAA] is... about constitutional identity. If India is a secular country and citizenship status is fundamentally a constitutional question which relates to the very foundations of the polity, it cannot be that the test for citizenship in a secular country is a sectarian test.” Ultimately when the Supreme Court will decide this case, Bhat noted, “it will have to make up its mind about the future course of what constitutional identity of India—particularly secular identity—means.”",CAA,Neutral,No Technique,No Tags,No Narrative
483C,"On October 28, Delhi High Court directed the Delhi Police to apprise the Court of the latest stages of trial in cases pertaining to 2019 Jamia campus violence. In a key development in the 2019 Jamia Millia Islamia attack case, on October 28, the Delhi High Court directed the state police to apprise the Court of the latest stages of trial in cases pertaining to the violence on the said campus in December 2019. The attack refers to the student protesting against the Citizenship (Amendment) Act (CAA). A division bench headed by Chief Justice DN Patel and comprising Justice Jyoti Singh asked the counsel appearing for Delhi Police to submit a status report on impending cases and whether a chargesheet was filed and trial has commenced. The Delhi HC asked the state police to submit the number of charge sheets filed, charges framed and trial commenced and the number of witnesses examined. ""What is the status of these matters in the trial court, like charge sheets filed, trials began, witnesses examined, etc?"" the bench asked Delhi Police. The incidents of violence in the varsity occurred concerning student protests against the CAA and the Delhi HC has heard several petitions alleging ruthless and excessive use of force and aggression that was unleashed by the authorities and paramilitary forces on students staging protests within the university campus on December 13 and 15, 2019. The batch of PILs before the Delhi HC has sought formation of Special Investigation Team (SIT), Commission of Inquiry (CoI) or a fact-finding committee, medical treatment, compensation and interim protection from arrest and registration of FIRs against erring police personnel. Notably, the Police have earlier opposed the plea for setting up an SIT or a CoI claiming it would 'amount to supplanting the law'. Notably, on the issue of Delhi Police barging into the university campus without intimation or permission, the counsel appearing for Police claimed that even internationally, police are not denied access to educational institutions and universities. And speaking of providing compensation to students who were gravely injured amid violent clashes, the Police said it could be awarded only if there was an admission of the breach and in the present case, the issue was being examined. The petitioners, while seeking an SIT probe, argued that such a move would 'reassure the public' and restore the public's faith in the system. While advocate Dhruv Pande, appearing for Delhi police, sought instructions on the cases and more time to gather the information, the Delhi HC granted time and listed the matter for further hearing on December 23.",CAA,Neutral,No Technique,No Tags,No Narrative
91C,"On Sunday (9 February) All India Majlis-e-Ittehad-ul-Muslimeen (AIMIM) chief Asaduddin Owaisi said that those who stand up to Amit Shah and Prime Minister Narendra Modi and refuse to produce documents to prove his citizenship, are true warrior men, reports Republic TV. He said that Jo Modi-Shah ke khilaaf awaaz uthayega woh sahi maayne mein “mard-e-mujahid keh layega.” A Owaisi: Jo Modi-Shah ke khilaaf awaaz uthayega woh sahi maayne mein mard-e-mujahid keh layega...Main watan mein rahunga,kaagaz nahi dikhaunga. Kagaz agar dikhane ki baat hogi toh seena dikhayenge ki maar goli. Maar dil pe goli maar kyunki dil mein Bharat ki mohabbat hai.#CAA pic.twitter.com/5VOPBgK8Ze The word “Mujahid”, a singular for “Mujahideen”, literally means a Muslim man engaged in Jihad in the way of Allah and crusading in the cause of Islam. In his speech Owaisi said, India is his home and he will not show his documents to prove his citizenship and continue to oppose NRC. He dared people to shoot at him and but in his heart he carried love for India in it. On Saturday (8 February), Hyderabad became the first city to in India to pass a resolution against the National Population Register (NPR). The resolution was adopted after former Mayor and AIMIM national corporator Majid Hussein had proposed it to Hyderabad Mayor Bonthu Rammohan, who accepted it.",CAA,left,"Assertion,Exaggeration and Minimization,Flag-Waving,Name Calling and Labeling","T8: ['those who stand up to Amit Shah and Prime Minister Narendra Modi and refuse to produce documents to prove his citizenship, are true warrior men']
T8: ['He said that Jo Modi-Shah ke khilaaf awaaz uthayega woh sahi maayne mein “mard-e-mujahid keh layega.']
T8: ['Jo Modi-Shah ke khilaaf awaaz uthayega woh sahi maayne mein mard-e-mujahid keh layega']
T11: ['Maar dil pe goli maar kyunki dil mein Bharat ki mohabbat hai']
T11: ['he carried love for India in it.']
T12: ['Kagaz agar dikhane ki baat hogi toh seena dikhayenge ki maar goli.']
T12: ['He dared people to shoot at him']
T19: ['India is his home and he will not show his documents to prove his citizenship and continue to oppose NRC']","Vilification of the central government, Glorifying Anti-CAA Protesters, Framing Anti-CAA Protesters as Victims"
242C,"On Tuesday, the MEA spokesperson, Raveesh Kumar, reiterated that CAA is an internal affair of India and that no foreign party has any locus standi on issues related to India's sovereignty. The Ministry of External Affairs (MEA) has slammed The Office of the United Nations High Commissioner for Human Rights (OHCHR) for filing an intervention application in the Supreme Court of India against the implementation of the Citizenship Amendment Act (CAA). Raveesh Kumar, MEA: The Citizenship Amendment Act is an internal matter of India and concerns the sovereign right of the Indian Parliament to make laws. We strongly believe that no foreign party has any locus standi on issues pertaining to India’s sovereignty. (2/4)https://t.co/XKpX2qiuqb — ANI (@ANI)March 3, 2020 The contentious move by the UN body implied that it wanted to be made a party in the existing petitions against the CAA. The message was conveyed to India’s Permanent Mission in Geneva, Switzerland. On Tuesday, the MEA spokesperson, Raveesh Kumar, reiterated that CAA is an internal affair of India and that no foreign party has any locus standi on issues related to India’s sovereignty. He informed, “Our Permanent Mission in Geneva was informed yesterday evening by UN High Commissioner for Human Rights (Michelle Bachelet) that her office had filed an intervention application in the Supreme Court of India in respect to the 2019 Citizenship Amendment Act.” Raveesh Kumar, MEA: India is a democratic country governed by the rule of law. We all have utmost respect for and full trust in our independent judiciary. We are confident that our sound and legally sustainable position would be vindicated by the Hon’ble Supreme Court.(4/4)https://t.co/JhQNZsq8hY — ANI (@ANI)March 3, 2020 Kumar said, “It (CAA) is reflective of our long-standing national commitment with respect to human rights issues arising from the tragedy of the Partition of India.” He added, “India is a democratic country governed by the rule of law. We all have the utmost respect for and full trust in our independent judiciary. We are confident that our sound and legally sustainable position will be vindicated by the Supreme Court. ” While the OHCHR had earlierallegedthat CAA was “fundamentally discriminatory in nature”, nothing can possibly be further from the truth. CAA does not strip anyone, let alone Indian Muslims of their citizenship rights. Thehumanitarian lawaims to fast track the citizenship process of religious persecuted minorities from three neighbouring countries of Pakistan, Bangladesh and Afghanistan who have come to India as refugees before December 31, 2014. ",CAA,right,"Assertion,Thought-terminating Cliches","T13: ['nothing can possibly be further from the truth.']
T19: ['“fundamentally discriminatory in nature”, nothing can possibly be further from the truth.']","Vilification of the opposition, Delegitimization of Critics, Glorification of the central government"
502C,"On a day when BJP released its manifesto for the Assam Assembly polls, Sarbananda Sonowal refused to get drawn into the speculation about the party's CM face. On a day when BJP released its manifesto for the Assam Assembly polls, Sarbananda Sonowal refused to get drawn into the speculation about the party's CM face. Speaking to the media on Tuesday, the Assam CM asserted that the priority is to ensure that BJP is re-elected in the state and passed the buck on the choice of CM to the party's Parliamentary Board. On this occasion, he also addressed the criticism of Congress over BJP's silence on the Citizenship Amendment Act in the Assam poll campaign. Making it clear that the CAA will be implemented in the state as it is a Central legislation, Sonowal promised to bring in an error-free NRC to ensure that no illegal migrant stays in Assam. 47, 39 and 40 constituencies of Assam will go to the polls on March 27, April 1 and April 6 respectively. While the polling time has been increased by one hour, there will be 33,530 polling stations. The counting of votes will take place on May 2. You ask the Parliamentary Board, why are you asking me? We are BJP workers, our target is to form BJP government in the state. That's our highest level of satisfaction. Who becomes CM is not the question: Assam CM & BJP leader Sarbananda Sonowalpic.twitter.com/5JSP5SDHdV Unveiling BJP's manifesto in Guwahati earlier in the day, BJP president JP Nadda lauded the progress achieved by the state under the leadership of Prime Minister Narendra Modi and Sonowal. The vision document focuses on key areas such as youth empowerment, strengthening of internal apparatus, economic growth, agriculture, health, infrastructure, social welfare and tourism. The JP Nadda-led party asserted that the manifesto represents the aspirations of the people of Assam and promised to implement it. BJP's 10 Sankalp for an Aatmanirbhar Assam.Assam's rights will be protected through corrected NRC.Read full athttps://t.co/7QTsdAZlJ7#10SankalpforAxompic.twitter.com/niRFBbdbG4",CAA,Neutral,No Technique,No Tags,No Narrative
197C,"On being asked whether India was losing friends abroad, following the Delhi riots, S Jaishankar stated, ""Maybe we are getting to know who our friends really are."" At the Global Business Summit held in Delhi on Saturday, Diplomat turned Union Minister for External Affairs, S Jaishankar,saidthat every country including the United States has unique citizenship criteria based on “context” and social “criteria”. EAM:Point we make on CAA is that it can’t be anybody’s case that a Govt&Parliament doesn’t have the right to set terms of citizenship. We have tried to reduce the large number of stateless people we have in this country.Everybody when they look at citizenship has a context (2/2)https://t.co/l0N6w186U1 — ANI (@ANI)March 7, 2020 Responding to misguided concerns internationally, he reiterated, “There are sections of the world outside the media. I engage governments. I was in a room with 27 foreign ministers in Brussels whom I was talking to… The point we make on CAA is that it can’t be anybody’s case that a government and parliament doesn’t have the right to set terms of citizenship.” The Union Foreign Minister also added, “We have tried to reduce a large number of stateless people we have in this country. Everybody, when they look at citizenship, has a context.” Referring to the unprecedented move by the Commissioner of the UN Human Rights Commission (UNHRC), Michelle Bachelet, to move the Supreme Court of India on March 2, he said, “They (UN) carefully skirt around the problem of cross-border terrorism in the region as if it has nothing to do with Kashmir.” EAM S Jaishankar on UN Human Rights Council Director doesn’t seem to agree with you(on#CAA): Sure,she has been wrong before.I have seen reports on J&K by the same body,how carefully they skirt around the cross border terror problem as if its nothing to do with country next door.pic.twitter.com/P56RjZEnO2 — ANI (@ANI)March 7, 2020 On being asked whether India was losing friends abroad, following the Delhi riots, S Jaishankar stated, “Maybe we are getting to know who our friends really are.” He was also asked about the criticism of the Indian Government by Ayatollah Ali Khamenei of Iran and the US Democratic leaders. The former diplomathighlightedhow India adopted a strategy of “managing the world but kind of staying away” owing to its limited capabilities in the past. Emphasising on India’s growing economy and the changing landscape of geopolitics in the world, he added that the old strategy cannot be adopted anymore. On March 3, the MEA spokesperson, Raveesh Kumar,reiteratedthat CAA is an internal affair of India and that no foreign party has any locus standi on issues related to India’s sovereignty. Kumar added, “India is a democratic country governed by the rule of law. We all have the utmost respect for and full trust in our independent judiciary. We are confident that our sound and legally sustainable position will be vindicated by the Supreme Court.” ",CAA,right,"Bandwagon,Flag-Waving,Loaded Language","T7: ['“Maybe we are getting to know who our friends really are.”']
T11: ['CAA is an internal affair of India and that no foreign party has any locus standi on issues related to India’s sovereignty']
T11: ['India is a democratic country governed by the rule of law. We all have the utmost respect for and full trust in our independent judiciary. We are confident that our sound and legally sustainable position will be vindicated by the Supreme Court.']
T14: ['said that every country including the United States has unique citizenship criteria based on “context” and social “criteria”.']","Vilification of the opposition, Delegitimization of Critics, Glorification of the central government"
293C,"One Policeman has lost his life in the riots that have ensued in the national capital. The deceased cop Head Constable Ratan Lal fell prey to a bullet injury. Another cop was also critically injured in the violence. Massive riots erupted in Delhi on Monday and continued on Tuesday. The death toll has reached 20, countless more have been injured and the damage to property has been enormous. Amidst all of this, one gun-wielding man was spotted brandishing his gun at the Police and firing shots. In what has emerged as one of the most iconic photographs from the violence, the Policeman refused to budge even as the man pointed his gun straight at him. The rioter wasidentified as Shahrukhand he has now been arrested. The Policeman confronted by Shahrukh has been identified as Head Constable of Delhi Police Deepak Dahiya. He confronted the gun-wielding rioter with just a lathi in his hand. DahiyatoldTimes of India, “I was deployed at Maujpur Chowk. Things suddenly took an extremely violent turn and people started pelting stones at each other. As I moved towards the scene of violence, I heard a gunshot. I saw a man wearing a red sweatshirt… he was wielding a pistol. I immediately jumped to the other carriageway to divert his attention.” “He was charging ahead… I walked up to him to divert his attention.. I could not have allowed anyone else to come in his way. My priority was to ensure that there was no casualty,” Dahiya added. He further said that it was his duty and he had to do it,“Kaam hain mera, karna hi hai…” As a testament to his adherence towards the virtues of honour and duty, Dahiya told TOI, “Agar mere saamne koi mar jaata, toh bahut dukh hota hamesha… (had anyone died in front of me, it would have hurt me forever).” Dahiya’s wife and two daughters live in Sonepat, Haryana. His family was unaware of his actions until Tuesday morning. His wife recognized him from his photograph that went viral on social media. “I did not tell them anything, but my photograph went viral on social media. My wife called me up all worried. I tried to dodge her questions, but even though my face wasn’t visible in the photographs, she recognised me from the blue stripes on the jacket… I kept quiet as I know that she has full confidence in me,” Dahiya said. One Policeman has lost his life in the riots that have ensued in the national capital. Thedeceased cop Head Constable Ratan Lalfell prey to a bullet injury. Another cop was also critically injured in the violence. ",CAA,Neutral,No Technique,No Tags,No Narrative
333C,"One of the most outlandish explanation came from a protestor who said CAA is a machine that provides Indian citizenship. ""CAA/NRC is a machine. These machines produce Indian citizens. They grant citizenship,"" he said. The opposition party in Bihar, RJD, today called out a state-wide bandh and protest against the enactment of the Citizenship Amendment Act (CAA). A raft of RJD supporters obeyed the party call and hit the streets, feverishly protesting against the Bill, except for they did not know the exact cause for their protest. The questions regarding thepurposeof their protest elicited a wide array of profoundly ludicrous answers from the RJD supporters. From the explanations ranging from “the protest was against the assassination of Mahatma Gandhi” to “CAA is a machine that produces Indian citizens”, RJD supporters proffered hilariously inconceivable reasons to defend their participation in the demonstrations against the Citizenship Bill. Evidently, most of them were not even aware of the constitutional argots- the Citizenship Amendment Act and the National Register for Citizens. Read:Watch: While assuring a journalist that their anti-CAA protests are ‘peaceful’, RJD leader spots an autorickshaw and vandalises it “We are protesting because Mahatma Gandhi was murdered. Nathuram Godse murdered him. This government supports those who murdered Gandhi,” one of the protesters exclaimed. Perhaps, when you run out of logical reasons, the safest hedge is to invoke Mahatma Gandhi. Another protester, having no good reason to offer, claimed that he participated in the protest to demand the release of their leader Lalu Prasad Yadav, notwithstanding the court order which sentenced him for 27 years for his involvement in the fodder scam. Read:Anti-CAA riots: RJD workers, armed with sticks and flags with Lalu’s face, vandalise autorickshaws during ‘bandh’ called in Bihar One protestor, who identified himself as a local RJD leader, Nandkishore Mandal provided an absurd reason claiming he is protesting because people garlanded him with a ‘Mala’. “I am protesting because people have garlanded me with a ‘Mala’. I am protesting because girls and women are being raped and set ablaze in Bihar.” However, one of the most outlandish explanation came from a protestor who said CAA is a machine that provides Indian citizenship. “CAA/NRC is a machine. These machines produce Indian citizens. They grant citizenship,” he said. The Citizenship Amendment Act passed by the central government aims to grant citizenship to the persecuted minorities-Hindus, Jains, Sikhs, Parsis, Christians, and Buddhists from Pakistan, Afghanistan and Bangladesh who came to India on or before December 31, 2014. ",CAA,left,"Appeal to emotion/fear/prejudice,Smears","T9: ['While assuring a journalist that their anti-CAA protests are ‘peaceful’, RJD leader spots an autorickshaw and vandalises it']
T15: ['The questions regarding thepurposeof their protest elicited a wide array of profoundly ludicrous answers from the RJD supporters.']
T15: ['RJD supporters proffered hilariously inconceivable reasons to defend their participation in the demonstrations against the Citizenship Bill.']
T15: ['Evidently, most of them were not even aware of the constitutional argots- the Citizenship Amendment Act and the National Register for Citizens.']
T15: ['While assuring a journalist that their anti-CAA protests are ‘peaceful’, RJD leader spots an autorickshaw and vandalises it']
T15: ['Perhaps, when you run out of logical reasons, the safest hedge is to invoke Mahatma Gandhi.']
T15: ['provided an absurd reason claiming he is protesting because people garlanded him with a ‘Mala’.']
T15: ['However, one of the most outlandish explanation came from a protestor who said CAA is a machine that provides Indian citizenship.']","Vilification of CAA, Vilification of the central government, Glorifying Anti-CAA Protesters, Framing Anti-CAA Protesters as Victims"
